"country","avg_happiness_score","avg_gdp_per_capita","avg_social_support","avg_life_expectancy","avg_freedom","avg_government_trust","avg_generosity","num_years","rank"
"Denmark",7.5459999671936,1.39672860255432,1.44768831850433,0.865249104915619,0.625959344490051,0.429374013633728,0.318876097745895,5,1
"Norway",7.54100003585815,1.51938063687134,1.43107471191406,0.873333300590515,0.638048517478943,0.343950766904831,0.328990447462082,5,2
"Finland",7.53779997253418,1.35696038503265,1.43442934501648,0.873835533908844,0.621536171337128,0.398474308588028,0.217782554517746,5,3
"Switzerland",7.51139999160767,1.47216391064453,1.41733234901428,0.928318257896423,0.620642115333557,0.379763457071304,0.277431855651855,5,4
"Iceland",7.51100003738403,1.3865226040802,1.49281280140686,0.917744424423218,0.618034527065277,0.140145311894417,0.419124044147491,5,5
"Netherlands",7.4045999710083,1.41101292707825,1.3496458446579,0.878569225006104,0.589650897621155,0.298614365083694,0.415149965955734,5,6
"Canada",7.35059999694824,1.388128883255,1.38741179827881,0.90055753049469,0.610954182418823,0.305846303245544,0.389597944488525,5,7
"Sweden",7.31919998397827,1.40398145380402,1.3685744338913,0.898991031661987,0.617580819793701,0.397501745721817,0.336511850435257,5,8
"New Zealand",7.31300002593994,1.31750920960236,1.4397290247345,0.891617941108704,0.61778242609024,0.400015340425491,0.43280502519989,5,9
"Australia",7.27619998397827,1.3948849870224,1.40900639042664,0.914529358531952,0.605043476459503,0.314572746072769,0.416077849996567,5,10
"Israel",7.14219996414185,1.30372248468018,1.32191799274445,0.90268879996109,0.417499720766068,0.120874420011997,0.319936530990601,5,11
"Austria",7.14200000839233,1.39834145266724,1.36396299269104,0.883679683841705,0.576929237915039,0.214260073087692,0.292400464349747,5,12
"Costa Rica",7.12619999923706,1.03565525652313,1.3151607302475,0.832247853084564,0.591228329994202,0.101081317899227,0.196422645807266,5,13
"Puerto Rico",7.039,1.35943,1.08113,0.77758,0.46823,0.12275,0.22202,1,14
"United States",6.99880000610352,1.45594585680389,1.32857011273956,0.821615325553894,0.506882104667664,0.140843757668495,0.355079756130219,5,15
"Ireland",6.96440004730225,1.46041532785797,1.44505622306824,0.878932524848938,0.572192068405151,0.299791630662918,0.388299664571762,5,16
"Luxembourg",6.93599998321533,1.63767471955872,1.34324073316956,0.903489899036407,0.583831578212738,0.337420884803772,0.245846196374893,5,17
"Germany",6.92900004272461,1.39534267674255,1.35952607028198,0.870736146350861,0.55858827689743,0.265134387624741,0.291385834009171,5,18
"Belgium",6.92139995880127,1.37539815215302,1.35749253967285,0.88287037387085,0.538762144477844,0.237844626213074,0.208880667524338,5,19
"United Kingdom",6.91000004501343,1.33756678794861,1.36793201602936,0.881735187786102,0.503760007164001,0.244017613250732,0.42469083174324,5,20
"Oman",6.853,1.36011,1.08182,0.76276,0.63274,0.32524,0.21542,1,21
"United Arab Emirates",6.74419995269775,1.64522667389679,1.06986004631805,0.752195647274017,0.538813054031372,0.311982390925884,0.2678263893013,5,22
"Mexico",6.72520001373291,1.07936076357269,1.0829944319458,0.771569799541473,0.436726001672745,0.139488822921753,0.104416086559772,5,23
"Brazil",6.65780004577637,1.03322664208984,1.32331120090485,0.680944470581055,0.443038749359131,0.120392552231789,0.134969978928566,5,24
"Czech Republic",6.65460004119873,1.26856247041321,1.32484904334259,0.827406800621033,0.473753234733582,0.0346505854198933,0.0808513517785072,5,25
"Chile",6.58939999008179,1.17332692195892,1.20287299076843,0.84497594078064,0.396821055738449,0.0884975964212418,0.2720484842453,5,26
"Singapore",6.54280000534058,1.59213753398132,1.23107887269592,1.01418647898483,0.553412113899231,0.467255557006836,0.303215196296692,5,27
"Panama",6.53800002822876,1.14826768719482,1.28816250975037,0.776023226921082,0.538879366802216,0.0729827847943306,0.186139387848854,5,28
"Malta",6.53399999008179,1.2856999677124,1.38684633299255,0.879060847351074,0.590271410339355,0.151493213777542,0.481124115016937,5,29
"France",6.51519998245239,1.34411669238281,1.31824737033081,0.91624117035675,0.488390423103333,0.183208485658646,0.116736461361885,5,30
"Argentina",6.45939999542236,1.11103509252167,1.33096022903442,0.760895416706085,0.481619840780258,0.0643079775428772,0.092371412138939,5,31
"Uruguay",6.43119999923706,1.13555793904877,1.31531157380676,0.782929364715576,0.574978450870514,0.188516374544144,0.169011385814667,5,32
"Taiwan Province of China",6.42199993133545,1.43362653255463,1.38456535339355,0.793984234333038,0.361466586589813,0.0638292357325554,0.258360475301743,1,33
"Qatar",6.4218,1.74369113720703,1.16970737595367,0.768731617557526,0.604064196670532,0.355973851121902,0.291216774007797,5,34
"Taiwan",6.391,1.3553175,1.2171025,0.8604875,0.3725425,0.0806475,0.2254275,4,35
"Saudi Arabia",6.37599997253418,1.43951271103668,1.18137951979065,0.66621366594696,0.417454114488602,0.231550450958252,0.123449202776909,5,36
"Spain",6.35139997558594,1.29880757286835,1.3994661804657,0.950108119979858,0.410948246089935,0.0698528194260597,0.168810714324951,5,37
"Guatemala",6.34379999923706,0.806614389194489,1.14146703872681,0.615775997951508,0.550286123584747,0.0815906557164192,0.240091678565979,5,38
"Colombia",6.339999974823,0.992910464988708,1.30261058733368,0.671677584716797,0.49209948301506,0.044971748370409,0.137456894592285,5,39
"Thailand",6.28659995727539,1.05001375431061,1.31232049113464,0.7139778058815,0.565274146350861,0.0297625470483303,0.491676622058868,5,40
"Suriname",6.269,1.0461,0.87533,0.558765,0.559455,0.131625,0.16828,2,41
"Trinidad & Tobago",6.192,1.227,1.4845,0.6385,0.532,0.0175,0.178,2,42
"Trinidad and Tobago",6.16800007375081,1.29963530025482,1.18315283981323,0.553631097208659,0.520666914342244,0.010924938702782,0.321028820527395,3,43
"Kuwait",6.1486000038147,1.55566249034119,1.18464374971771,0.695143141624451,0.505997518520355,0.182187910061836,0.171843959580421,5,44
"El Salvador",6.12419995651245,0.829604899166107,1.09798901831055,0.65947771055603,0.419928505933762,0.0939741919784546,0.0863895970826149,5,45
